patient_id,ssn,first,last,race,ethnicity,birthplace,address,city,state,county,zip,lat,lon,healthcare_expenses,healthcare_coverage,income,gender,medical_start_date,medical_stop_date,payer,encounter,medical_code,medical_description,base_cost,payer_coverage,dispenses,totalcost,age_begin,rash,joint_pain,fatigue,fever
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2020-04-22 02:47:09+00:00,,0133f751-9229-3cfd-815f-b6d4979bdd6a,402DFAEB-1888-F562-4651-F75203EB1E28,849574,Naproxen sodium 220 mg oral tablet,274.28,0.0,45,12342.6,26,34,39,9,12
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2020-04-22 02:47:09+00:00,2020-05-17 02:47:09+00:00,0133f751-9229-3cfd-815f-b6d4979bdd6a,402DFAEB-1888-F562-4651-F75203EB1E28,312615,Prednisone 20 mg oral tablet,16.04,0.0,1,16.04,26,34,39,9,12
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2021-08-01 02:47:09+00:00,2021-08-15 02:47:09+00:00,0133f751-9229-3cfd-815f-b6d4979bdd6a,FBC2F3B3-AB93-707E-AD9E-337990345F32,241834,Cyclosporine  modified 100 mg oral capsule,473.61,0.0,1,473.61,26,34,39,9,12
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2021-08-01 02:47:09+00:00,2021-08-15 02:47:09+00:00,0133f751-9229-3cfd-815f-b6d4979bdd6a,FBC2F3B3-AB93-707E-AD9E-337990345F32,312615,Prednisone 20 mg oral tablet,8.21,0.0,1,8.21,26,34,39,9,12
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2023-05-18 02:47:09+00:00,2023-06-14 02:47:09+00:00,0133f751-9229-3cfd-815f-b6d4979bdd6a,E3989F64-4D5B-32E0-9EDC-7874A02F45E8,241834,Cyclosporine  modified 100 mg oral capsule,408.04,0.0,1,408.04,26,34,39,9,12
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,2023-05-18 02:47:09+00:00,2023-06-14 02:47:09+00:00,0133f751-9229-3cfd-815f-b6d4979bdd6a,E3989F64-4D5B-32E0-9EDC-7874A02F45E8,312615,Prednisone 20 mg oral tablet,16.22,0.0,1,16.22,26,34,39,9,12
6c434506-fb4b-3e3f-c19d-553dec3b6c17,999-44-3322,Claudia969,Gracia333,black,hispanic,La Paz  Baja California  MX,625 Doyle Row,Dallas,Texas,Dallas County,75052,0.3289327031741145,-96.99178676420648,12819.78,3442.72,5779,F,2017-11-05 17:20:52+00:00,,734afbd6-4794-363b-9bc0-6a3981533ed5,ADD4FA37-CABE-A5AA-F9DA-8117464BAD04,849574,Naproxen sodium 220 mg oral tablet,253.5,0.0,75,19012.5,58,19,44,48,15
6c434506-fb4b-3e3f-c19d-553dec3b6c17,999-44-3322,Claudia969,Gracia333,black,hispanic,La Paz  Baja California  MX,625 Doyle Row,Dallas,Texas,Dallas County,75052,0.3289327031741145,-96.99178676420648,12819.78,3442.72,5779,F,2017-11-05 17:20:52+00:00,2017-11-21 17:20:52+00:00,734afbd6-4794-363b-9bc0-6a3981533ed5,ADD4FA37-CABE-A5AA-F9DA-8117464BAD04,312615,Prednisone 20 mg oral tablet,15.3,0.0,1,15.3,58,19,44,48,15
6c434506-fb4b-3e3f-c19d-553dec3b6c17,999-44-3322,Claudia969,Gracia333,black,hispanic,La Paz  Baja California  MX,625 Doyle Row,Dallas,Texas,Dallas County,75052,0.3289327031741145,-96.99178676420648,12819.78,3442.72,5779,F,2019-05-11 17:20:52+00:00,2019-06-04 17:20:52+00:00,734afbd6-4794-363b-9bc0-6a3981533ed5,28C980FF-4220-E426-0E14-C5CE10DEE315,241834,Cyclosporine  modified 100 mg oral capsule,443.82,0.0,1,443.82,58,19,44,48,15
6c434506-fb4b-3e3f-c19d-553dec3b6c17,999-44-3322,Claudia969,Gracia333,black,hispanic,La Paz  Baja California  MX,625 Doyle Row,Dallas,Texas,Dallas County,75052,0.3289327031741145,-96.99178676420648,12819.78,3442.72,5779,F,2019-05-11 17:20:52+00:00,2019-06-04 17:20:52+00:00,734afbd6-4794-363b-9bc0-6a3981533ed5,28C980FF-4220-E426-0E14-C5CE10DEE315,312615,Prednisone 20 mg oral tablet,12.33,0.0,1,12.33,58,19,44,48,15
