patient_id,ssn,first,last,race,ethnicity,birthplace,address,city,state,county,zip,lat,lon,healthcare_expenses,healthcare_coverage,income,gender,age_begin,rash,joint_pain,fatigue,fever
28d7b56c-6056-d0a2-2991-39d6e917216c,999-31-6091,Angela104,Stanton715,white,hispanic,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,79336,0.33703727709837,-102.3618288012336,12449.11,0.0,67198,F,26,34,39,9,12
6c434506-fb4b-3e3f-c19d-553dec3b6c17,999-44-3322,Claudia969,Gracia333,black,hispanic,La Paz  Baja California  MX,625 Doyle Row,Dallas,Texas,Dallas County,75052,0.3289327031741145,-96.99178676420648,12819.78,3442.72,5779,F,58,19,44,48,15
44a8ca45-6c6e-38bb-fac0-ddbf7a7ee3a4,999-51-4389,Rudolf736,Rohan584,white,nonhispanic,Atascocita  Texas  US,110 Johns Wall Suite 79,Pantego,Texas,Tarrant County,76013,0.3266867129374776,-97.10618247421296,12993.45,0.0,47847,M,50,2,32,12,6
780ec78c-22a0-fcdb-17c6-ae9b2fcace9c,999-23-8384,Juliane376,Barton704,white,hispanic,Houston  Texas  US,693 Williamson Lock Unit 73,Wolfforth,Texas,Lubbock County,79382,0.3347456542802655,-101.98268233315304,13483.21,0.0,116672,F,39,30,30,41,19
cf5956bb-34f2-841b-2505-57b99991c377,999-36-9799,Dagmar148,King743,white,nonhispanic,Little Elm  Texas  US,592 Schinner Heights Suite 91,Cedar Park,Texas,Williamson County,78750,0.3039217206871675,-97.8145520713294,11630.68,0.0,47402,F,29,28,26,33,5
ca424f09-df70-f4a9-986f-8e11f4dd838b,999-24-6810,Cliff504,Hahn503,white,nonhispanic,Dallas  Texas  US,382 Nader Passage,Fort Worth,Texas,Tarrant County,76177,0.3270291635030323,-97.36059541988092,14491.62,0.0,49151,M,51,33,9,25,0
2a76c0e3-1e73-2109-3d5e-8a8871fe35d7,999-20-5991,Clemente531,Villa94,white,hispanic,Santo Domingo  National District  DO,1070 Stroman Annex,Round Rock,Texas,Williamson County,78626,0.3047427714299097,-97.74358115056,16053.2,0.0,35491,M,56,46,31,16,12
99249ff1-59a9-dc6e-c152-4ca393cd57c5,999-22-2990,Emilia403,Quiñones183,white,hispanic,Mexico City  Mexico City  MX,530 Watsica Trafficway Suite 89,Richardson,Texas,Dallas County,75075,0.3298234332738247,-96.70544263976944,12966.64,361.84,83862,F,35,7,22,3,9
1a187a7d-3945-64fc-0d85-05f702c921fd,999-26-2945,Drew592,Mosciski958,white,nonhispanic,San Antonio  Texas  US,1054 Schamberger Bypass,Tomball,Texas,Harris County,77354,0.3013500352670791,-95.65410249579868,16779.66,341.92,44813,M,47,9,40,23,2
faa9061d-d7d8-dc62-a403-21ae2582ea52,999-86-5102,Noelle559,Crist667,white,nonhispanic,Converse  Texas  US,992 Williamson Knoll,Greenville,Texas,Hunt County,75401,0.3315279923127587,-96.07715383610696,9866.2,2182.24,25510,F,43,23,22,48,9
ff7afb45-4baf-dd51-c412-d32be71f1be6,999-41-9169,Delois358,Schuster709,asian,nonhispanic,Macau  Macao Special Administrative Region of the People's Republic of China  CN,298 Cruickshank Knoll Apt 84,Rockwall,Texas,Rockwall County,75087,0.3282306300482606,-96.38150599769764,17273.81,0.0,127121,F,54,35,13,14,14
6565486a-566f-2324-edfc-60f86785bd31,999-74-9874,Corrie32,Harvey63,white,nonhispanic,Austin  Texas  US,617 Gutkowski Hollow,San Antonio,Texas,Bexar County,78259,0.2938639135569286,-98.4369772528175,15686.91,0.0,71046,F,61,6,37,19,6
c0fae4e0-7d98-df7d-ffe6-bf68100cf5cc,999-87-1989,Caroyln232,Doyle959,white,nonhispanic,Scissors  Texas  US,447 McGlynn Row,Texas City,Texas,Galveston County,77573,0.2939186337113064,-94.95487704221108,12521.94,728.67,86226,F,40,30,28,4,4
67773be8-22f0-b24a-04af-37d8b015124a,999-18-9191,Ema785,Thiel172,white,nonhispanic,College Station  Texas  US,970 Larkin Dam Suite 25,Sulphur Springs,Texas,Hopkins County,75482,0.3319238547256847,-95.6493571256257,11691.41,3442.72,6839,F,60,10,44,45,18
d6cf05d4-cf6b-1ecc-d176-396e53f23827,999-76-2111,Salvatore257,Nienow652,white,hispanic,Eagle Pass  Texas  US,821 Wunsch Trail Apt 68,Frisco,Texas,Denton County,75070,0.3317703756813204,-96.66027022561131,14734.08,0.0,123979,M,47,39,3,48,7
ef8df187-dc9d-6835-3b16-393b9344eb04,999-73-2451,Brittaney358,Toy286,white,nonhispanic,Cedar Park  Texas  US,1094 Green Rue,Leander,Texas,Williamson County,78628,0.3063104988367936,-97.79287834117588,13621.02,0.0,90442,F,30,46,33,24,9
0005a479-d128-178d-4aac-fefe1b0cc77e,999-53-5785,Elene949,Sawayn19,white,nonhispanic,Arlington  Texas  US,283 Eichmann Crossroad Unit 71,Wells Branch,Texas,Travis County,0,0.3040381838068812,-97.71476593065208,11444.38,0.0,62115,F,34,12,37,5,7
b00823c6-6df8-491d-5898-7dbca685293f,999-22-2714,Adah626,Kuhic920,asian,nonhispanic,Irving  Texas  US,269 MacGyver Park,Hornsby Bend,Texas,Travis County,0,0.3025841633093117,-97.56148034303818,13767.92,0.0,148624,F,39,17,22,22,14
12b66f6f-89ce-866e-208b-473d814a7f6c,999-96-4554,Shanice479,Windler79,white,nonhispanic,Houston  Texas  US,234 Kuhic Key Unit 5,Longview,Texas,Gregg County,75602,0.3249608686740222,-94.73500869397311,14902.42,867.72,40089,F,50,41,39,15,9
7f2794d8-c916-9cb3-8635-456b7629d31f,999-21-6397,Milly429,Wunsch504,white,nonhispanic,Cedar Park  Texas  US,534 Legros Village,El Paso,Texas,El Paso County,79904,0.3180987939607924,-106.47657129411374,9449.3,4802.72,2110,F,30,2,47,44,5
5ad9f80a-4574-acaf-ec7e-a82651493c5a,999-29-1770,Vicente970,Hurtado459,white,hispanic,Santiago de los Caballeros  Santiago  DO,117 Labadie Lane Suite 12,Houston,Texas,Harris County,77056,0.2971523295688238,-95.22985304088373,18359.8,0.0,121921,M,55,22,3,20,9
62a832c5-d56d-f57d-c07f-446a80de1330,999-51-2741,Terrance440,Cummings51,black,nonhispanic,Mission  Texas  US,883 Bednar Bridge Unit 93,The Colony,Texas,Denton County,75024,0.3305252906054011,-96.81703046193144,11772.0,1483.81,592860,M,25,1,45,44,2
16100f10-b180-80d8-7293-192b331e1a4c,999-52-7328,Mireille557,Hand679,black,nonhispanic,Dickinson  Texas  US,1012 Beatty Landing,Coppell,Texas,Dallas County,75063,0.3302275873183115,-96.95974696906842,13759.58,785.93,366777,F,30,29,9,1,2
6c52c774-934f-40d1-5637-858f2b873f0f,999-70-2909,Nancey580,Fay398,black,nonhispanic,Huntsville  Texas  US,977 Bruen Haven,The Woodlands,Texas,Harris County,77381,0.3023972906619415,-95.51888308592422,10873.56,0.0,992076,F,36,39,36,49,19
11d6d004-5107-6a5c-a340-728939ca8e79,999-95-5350,Mariana775,Benavides239,white,hispanic,Santiago de los Caballeros  Santiago  DO,862 Gislason Neck Apt 31,Odessa,Texas,Ector County,79706,0.3188296186258952,-102.25644615234224,13175.18,0.0,132114,F,30,26,10,33,1
a57bee94-e730-b510-59c9-a377414b4f02,999-59-9312,Kenna183,Beer512,white,nonhispanic,Houston  Texas  US,547 Hansen Gardens,Arlington,Texas,Tarrant County,76119,0.3275352177155737,-96.9715771114912,17157.24,481.0,817587,F,53,22,34,45,4
ec6afd1b-0c5f-2878-1a86-9e308252b30b,999-56-3860,Gail741,Bahringer146,asian,nonhispanic,Ennis  Texas  US,907 Mueller Gateway Apt 42,Fort Worth,Texas,Tarrant County,76135,0.3277638290511142,-97.10422914558,16829.2,2869.28,33501,M,74,28,1,6,4
d141033b-f16a-37ea-165d-66bc0869ae74,999-23-9857,Ramiro608,Rojas511,black,hispanic,Carolina  Puerto Rico  PR,410 Thompson Parade,Rowlett,Texas,Dallas County,75089,0.3303855781974185,-96.56488481483797,13541.43,0.0,130841,M,27,4,8,32,10
ead2f496-2df0-2bc0-c446-9110f0453c02,999-88-4707,Keenan632,Eichmann909,black,hispanic,Grand Prairie  Texas  US,980 Hermiston Crossing Apt 29,Plum Grove,Texas,Liberty County,77372,0.3024703804697026,-95.19929271995714,14974.2,0.0,51932,M,55,5,32,8,16
8bdb8dfc-4ddf-7215-0343-f39815a39b65,999-45-9414,Daniell603,Marks830,white,nonhispanic,Waco  Texas  US,398 Rogahn Walk Unit 14,El Paso,Texas,El Paso County,79912,0.3179816441386482,-106.55301400272798,12040.28,1774.24,26358,F,36,10,38,29,19
c3387cb1-382a-d643-25ec-3073636fb586,999-85-7737,Maynard46,Leannon79,native,nonhispanic,Kennedale  Texas  US,803 Gislason Drive Apt 9,Fort Worth,Texas,Tarrant County,76108,0.3296452339765055,-97.3360381271736,15093.61,0.0,73029,M,44,7,32,25,5
0b373140-6642-8f3e-eb47-5fd5fd490bfb,999-93-8512,Donte636,Lockman863,white,nonhispanic,Lantana  Texas  US,874 Becker Tunnel,Ponder,Texas,Denton County,76259,0.3319073482552692,-97.31610324702966,15492.24,0.0,98299,M,36,0,34,37,18
44a768e0-cb42-a90e-4eb4-1c1c817bc0a3,999-82-9314,Hunter736,Tillman293,white,hispanic,Temple  Texas  US,108 Nitzsche Light,Melissa,Texas,Collin County,75454,0.332826581162762,-96.56114350035116,17386.71,2435.7,59922,M,75,46,11,35,19
9ed7ce67-ebfa-69df-5348-86af402f637d,999-27-6649,Stacy406,Green467,white,nonhispanic,Houston  Texas  US,1024 Monahan Orchard Suite 83,Weatherford,Texas,Parker County,76020,0.3286345203230947,-97.57010099278088,14901.62,0.0,42098,F,52,40,34,42,7
392c3390-e26c-1e4f-0805-3cbfe50536b8,999-11-8136,Ana María762,Alcala54,black,nonhispanic,Puebla  Puebla  MX,686 Dare Loaf,Pearland,Texas,Brazoria County,77545,0.2938157315834191,-95.2883548756768,11413.7,0.0,146076,F,37,28,35,46,5
64325625-13ed-9a9f-f5a0-1a5270a139eb,999-76-6295,Leigh689,Nikolaus26,white,nonhispanic,McKinney  Texas  US,796 Crooks Vale Suite 20,Princeton,Texas,Collin County,75071,0.3328906754412229,-96.61021969122444,13096.5,1230.24,27535,M,54,28,7,21,14
00cbb03e-9551-3437-fd0d-8a98d4fb87c4,999-36-9421,Yvone889,Botsford977,white,nonhispanic,Odessa  Texas  US,229 O'Conner Tunnel,Plano,Texas,Collin County,75074,0.3315215969591393,-96.6448127687186,12356.62,579.7,56595,F,31,21,36,29,3
